position_m,x_m,y_m,speed_mps,notch
53764.86,557842.738,4600347.965,11.11,3
53931.51,557976.004,4600448.028,11.11,3
54098.16,558109.269,4600548.091,11.11,3
54264.782,558242.512,4600648.138,11.11,3
54431.421,558375.555,4600748.478,11.11,3
54598.059,558508.534,4600848.896,11.1052,3
54764.685,558648.26,4600939.529,11.11,3
54931.335,558791.649,4601024.451,11.11,3
55097.985,558935.151,4601109.182,11.11,3
55264.599,559078.53,4601194.045,11.1082,3
55431.229,559221.696,4601279.303,11.1042,3
55597.872,559364.894,4601364.532,11.11,3
55764.519,559508.122,4601449.72,11.1075,3
55931.164,559651.64,4601534.415,11.11,3
56097.814,559795.186,4601619.071,11.11,3
56264.464,559938.733,4601703.727,11.11,3
56431.114,560082.37,4601788.229,11.11,3
56597.764,560225.793,4601873.092,11.11,3
56764.396,560368.588,4601958.946,11.0982,3
56930.858,560509.267,4602047.743,11.11,3
57097.331,560656.071,4602126.07,11.11,3
57263.547,560806.213,4602197.38,11.11,3
57430.197,560957.162,4602267.967,11.11,3
57596.847,561109.999,4602334.396,11.11,3
57763.37,561250.682,4602421.9,11.11,3
57930.02,561376.479,4602531.202,11.11,3
58095.858,561507.071,4602632.911,10.7824,3
58258.146,561660.189,4602684.553,10.4176,3
58392.049,561790.604,4602714.918,7.6098,3
58483.294,561879.471,4602735.609,4.7413,3
58531.451,561926.373,4602746.529,1.8826,3
58556.223,561950.501,4602752.147,3.6501,3
58633.811,562026.038,4602769.866,6.1322,3
58737.651,562127.009,4602794.107,7.6912,3
58870.599,562256.275,4602825.179,10.4756,3
59032.759,562414.262,4602861.711,10.8363,3
59197.316,562574.811,4602897.691,11.11,3
59363.966,562740.898,4602907.974,11.1099,3
59530.615,562907.546,4602908.524,11.11,3
59697.264,563074.194,4602908.975,11.1097,3
59863.914,563238.679,4602887.141,11.11,3
60030.564,563398.293,4602839.242,11.11,3
60197.214,563547.825,4602769.526,11.11,3
60363.86,563673.715,4602660.387,11.11,3
60530.507,563793.672,4602544.772,11.1094,3
60697.156,563918.549,4602434.503,11.11,3
60863.803,564044.486,4602325.366,11.11,3
61030.448,564171.539,4602217.569,11.11,3
61197.097,564316.147,4602135.96,11.1096,3
61363.729,564472.616,4602078.705,11.1081,3
61530.373,564630.199,4602024.512,11.11,3
61697.02,564787.899,4601970.641,11.11,3
61863.669,564945.362,4601916.077,11.11,3
62030.314,565102.833,4601861.549,11.11,3
62196.961,565262.006,4601812.454,11.1093,3
62363.608,565427.102,4601792.23,11.1098,3
62530.254,565592.888,4601805.854,11.11,3
62696.904,565755.558,4601841.949,11.11,3
62863.548,565913.457,4601894.251,11.11,3
63030.198,566059.942,4601973.565,11.11,3
63196.845,566205.26,4602055.135,11.11,3
63363.492,566350.622,4602136.629,11.11,3
63530.139,566495.984,4602218.122,11.11,3
63696.788,566641.347,4602299.617,11.1094,3
63863.435,566786.709,4602381.11,11.1097,3
64030.08,566932.156,4602462.447,11.11,3
64196.728,567077.658,4602543.692,11.1093,3
64363.366,567223.036,4602625.137,11.11,3
64530.013,567368.795,4602705.915,11.11,3
64696.663,567514.846,4602786.172,11.11,3
64863.311,567659.231,4602869.36,11.11,3
65029.955,567804.613,4602950.8,11.1086,3
65196.59,567950.016,4603032.194,11.11,3
65363.24,568095.44,4603113.583,11.11,3
65529.89,568240.924,4603194.864,11.11,3
65696.54,568386.392,4603276.174,11.11,3
65863.19,568531.86,4603357.484,11.11,3
66029.84,568677.328,4603438.794,11.11,3
66196.49,568822.796,4603520.104,11.11,3
66363.14,568968.263,4603601.414,11.11,3
66529.789,569113.731,4603682.724,11.11,3
66696.439,569259.195,4603764.04,11.11,3
66863.089,569404.62,4603845.426,11.1097,3
67029.739,569551.525,4603924.049,11.11,3
67196.389,569703.908,4603991.403,11.11,3
67363.039,569860.75,4604047.709,11.11,3
67529.679,570017.982,4604102.909,11.1076,3
67696.326,570175.221,4604158.113,11.11,3
67862.968,570332.454,4604213.314,11.1077,3
68029.609,570488.993,4604270.404,11.11,3
68196.259,570641.085,4604338.394,11.11,3
68362.864,570786.333,4604419.879,11.1039,3
68529.483,570924.531,4604512.907,11.1091,3
68696.11,571060.755,4604608.864,11.1075,3
68862.746,571196.986,4604704.825,11.11,3
69029.385,571333.219,4604800.789,11.11,3
69196.029,571469.457,4604896.755,11.11,3
69362.679,571605.699,4604992.725,11.11,3
69529.329,571741.941,4605088.696,11.11,3
69695.954,571878.211,4605184.584,11.1045,3
69862.566,572014.252,4605280.768,11.11,3
70029.188,572141.131,4605388.566,11.1037,3
70195.823,572266.7,4605497.995,11.11,3
70362.433,572402.197,4605594.936,11.11,3
70529.083,572538.71,4605690.521,11.11,3
70695.733,572675.223,4605786.106,11.11,3
70862.38,572811.733,4605881.689,11.11,3
71029.011,572948.231,4605977.263,11.11,3
71195.661,573084.744,4606072.848,11.11,3
71362.307,573221.253,4606168.43,11.11,3
71528.952,573357.762,4606264.012,11.11,3
71695.576,573497.462,4606354.711,11.11,3
71862.214,573644.551,4606432.939,11.1039,3
72028.796,573795.066,4606504.311,11.11,3
72195.192,573945.999,4606574.359,11.0756,3
72361.831,574097.159,4606644.496,11.11,3
72528.392,574248.247,4606714.6,11.11,3
72695.042,574399.417,4606784.742,11.11,3
72861.692,574550.588,4606854.883,11.11,3
73028.327,574701.744,4606925.019,11.11,3
73194.971,574852.975,4606995.016,11.11,3
73361.621,575004.26,4607064.908,11.11,3
73528.271,575155.546,4607134.8,11.11,3
73694.921,575306.682,4607205.011,11.11,3
73861.571,575452.268,4607285.917,11.11,3
74027.166,575594.864,4607369.889,10.9199,3
74192.419,575754.087,4607412.9,11.11,3
74357.79,575901.197,4607486.373,11.11,3
74523.713,576040.422,4607576.395,10.7451,3
74671.7,576176.999,4607633.083,9.2493,3
74787.204,576281.324,4607682.455,6.3426,3
74859.089,576344.954,4607715.588,3.4402,3
74888.078,576371.903,4607726.27,0.6623,3
74891.294,576374.912,4607727.406,1.0293,2
