position_m,x_m,y_m,speed_mps,notch
46232.794,540391.083,4583361.155,16.716,1
46485.778,540169.05,4583239.903,16.846,1
46737.782,539947.878,4583119.12,16.7588,1
46988.553,539727.787,4582998.928,16.7297,1
47241.755,539505.562,4582877.57,17.0252,1
47497.627,539280.993,4582754.935,17.0322,1
47752.923,539056.498,4582633.373,17.0748,1
48012.342,538828.375,4582509.848,17.4163,1
48271.66,538601.526,4582384.252,17.17,1
48532.056,538381.231,4582245.43,17.3763,1
48790.883,538162.491,4582107.071,17.3357,1
49055.373,537940.16,4581963.811,17.6475,1
49321.421,537717.936,4581817.531,17.8545,1
49592.942,537489.697,4581670.468,18.3605,1
49870.337,537256.105,4581520.858,18.6347,1
50126.355,537040.373,4581383.0,15.6955,1
50338.223,536861.844,4581268.916,12.749,1
50505.866,536720.551,4581178.689,9.8001,1
50629.304,536616.464,4581112.337,6.8563,1
50708.723,536549.495,4581069.646,3.9337,1
50744.845,536519.035,4581050.229,1.1038,1
50766.6,536500.69,4581038.535,2.4307,1
50814.957,536459.914,4581012.541,3.8615,1
50883.343,536402.248,4580975.781,5.2023,1
50972.751,536326.856,4580927.721,6.6005,1
51079.428,536236.943,4580870.313,7.4804,1
51196.536,536138.256,4580807.265,8.0282,1
51320.36,536033.636,4580741.03,8.5421,1
51455.757,535919.694,4580667.891,9.5094,1
51608.599,535790.889,4580585.62,10.777,1
51777.969,535646.592,4580496.946,11.6177,1
51956.901,535491.033,4580408.772,12.3318,1
52146.529,535330.221,4580308.284,12.794,1
52338.817,535167.279,4580206.183,13.0179,1
52540.548,534991.023,4580108.343,13.5913,1
52746.02,534802.055,4580027.69,13.8023,1
52953.358,534612.487,4579943.855,13.8237,1
53163.621,534417.612,4579865.015,14.1206,1
53372.622,534212.319,4579832.339,14.0295,1
53599.251,533991.885,4579878.183,15.7247,1
53837.98,533779.434,4579986.84,15.498,1
54047.091,533587.609,4580068.987,12.5758,1
54212.267,533424.364,4580090.884,9.642,1
54333.408,533304.06,4580079.024,6.7067,1
54410.625,533229.691,4580058.617,3.7892,1
54444.647,533197.801,4580046.763,0.9717,1
54464.103,533179.884,4580039.187,1.9192,1
54499.254,533147.705,4580025.074,2.6836,1
54544.32,533108.588,4580002.694,3.1707,1
54587.061,533073.567,4579978.214,2.4596,1
54615.796,533051.219,4579960.198,1.3839,1
54631.607,533039.246,4579949.872,0.8926,1
54644.459,533029.513,4579941.478,0.8452,1
54656.748,533020.719,4579932.903,0.7979,1
54669.293,533011.881,4579924.001,0.8524,1
54682.305,533002.713,4579914.766,0.9031,1
54696.093,532992.999,4579904.981,0.9251,1
54712.952,532981.71,4579892.462,1.2761,1
54733.225,532968.176,4579877.367,1.3999,1
54754.754,532954.232,4579860.981,1.475,1
54777.335,532940.407,4579843.128,1.5218,1
54800.086,532926.705,4579824.979,1.5028,1
54821.711,532915.053,4579806.762,1.3986,1
54842.216,532904.004,4579789.488,1.3439,1
54861.793,532893.607,4579772.9,1.2671,1
54880.555,532883.691,4579756.973,1.2444,1
54899.236,532873.659,4579741.222,1.2484,1
54918.28,532862.256,4579725.97,1.2755,1
